,articles
1416,"WASHINGTON—In an effort to rebrand the struggling party after a poor showing in the 2016 elections and to win over voters ahead of next year’s midterms, the Democratic National Committee on Monday unveiled 324 million new slogans to appeal to each United States resident individually. “We’re going to let Americans know that we’re fighting for each of them specifically with tailored slogans such as ‘A Better Construction Job For Brian’ and ‘Improving Schools For Your 9-Year-Old Twins Chloe And Sara,’” explained DNC chair Tom Perez, adding that the party sought to connect with more Americans by placing the customized slogans on postcards and door-hanger advertisements personally addressed to every inhabitant of the U.S. “From ‘Better Healthcare For Bill Webber’s Diabetes’ to ‘Mallory, We’ll Put That New Addition On Your House,’ to ‘We Can Probably Get You Five Minutes With Mark Ruffalo, Janice Marcott Of Cheyenne, Wyoming,’ our new party slogans have been carefully calibrated to narrowly focus on the issues each particular voter cares about most.” At press time, the DNC had already botched the rollout and sent bumper stickers with “Lowering Child Support For Ted” to all 324 million Americans."
1417,"WASHINGTON—Saying they wished to pay tribute to the legacies of these distinguished, law-abiding Americans, the Trump administration announced Friday that a long anticipated redesign of the $20 bill would honor Harriet Tubman’s owners. “These were patriotic business proprietors who followed the laws of their time to further their economic interests, and this new currency design finally recognizes these enterprising individuals for their success,” said Treasury Secretary Steven Mnuchin at an afternoon press conference, explaining that the bills commemorating those responsible for enslaving the famed abolitionist, Civil War nurse, and women’s rights activist for the first three decades of her life would be in circulation by 2018. “For too long, we’ve overlooked the achievements of these upstanding citizens and prosperous agriculturalists. The new $20 note, which will feature a portrait of the Brodess family on the front and a depiction of the Maryland plantation they operated on the back, will at last give them their proper place in American history.” Mnuchin then sought to assuage any concerns about the decision, assuring those in attendance that the Trump White House was already looking into ways to preserve Andrew Jackson’s likeness by having it replace Abraham Lincoln on the $5 bill."
1418,"WASHINGTON—Saying they could “live out here in the wild for months” if they had to, Eric Trump and Donald Trump Jr. reportedly spent Wednesday rounding up supplies of comic books and candy bars as they prepared to hide out that night from special prosecutors in their makeshift White House Rose Garden fort. According to sources, the Trump boys were seen carrying pillows, fruit snacks, a Connect Four game, an assortment of action figures, a screwdriver, a pair of plates from the State Dining Room’s china service, and other supplies, making several trips out to the blanket fort where they planned to lie low during Special Counsel Robert Mueller’s investigation into links between Russia and their father’s presidential campaign. “No one’s getting inside here—this place is super secure,” said Donald Jr., dumping a pillowcase filled with butter knives, a deck of Pokémon cards, and several individually wrapped Swiss cake rolls onto the fort’s grass floor. “We can forage during the day and sleep here at night. Mueller’s never gonna find us, not with all those leaves and twigs we put on the roof for camouflage.” “Even if he did, he’d never get past our booby traps,” added Donald Jr., referring to the thorny branches the brothers had gathered from nearby rose bushes and placed around the fort’s perimeter. Sources stated that the fort, located 30 feet from the West Wing Colonnade, has walls built from cardboard and loose piles of scrap wood, while its roof consists of blankets stripped from the president’s bed, which are draped over bushes and held down on the sides with a paperweight from theResolutedesk and a bronze bust of Martin Luther King Jr. The entrance flap, which the Trump boys keep pulled shut at all times to conceal themselves from any lawyers seeking to question them about Russian interference in the election, is reportedly made from a tattered flag flown by the 29th Massachusetts Infantry during the Battle of Antietam. White House staff confirmed the boys tried to bring two overstuffed chairs out to the 5-by-7-foot fort, but abandoned them on the South Portico after finding them too heavy to carry. As they sprawled out instead on cushions taken from a couch in the Treaty Room, the brothers are believed to have drawn up secret plans in a spiral notebook, including a scheme in which they would wear ski masks and one of them would boost the other through the window of Mueller’s office to steal back all the documents he has subpoenaed. “We can tape these toilet-paper rolls together to make bignoculars [sic],” said Eric, placing the cardboard cylinders next to two long wrapping-paper tubes they planned to cover in aluminum foil and use as swords. “I’d like to see Muellertryto make us testify! We’ve got everything we need to outlast him: Froot Loops, my Nintendo DS, super glue, juice, a spool of real fishing line, a bike pump. I even brought a picture of the whole family so we’ll never forget what they look like.” “We can’t ever go back to our old lives,” continued Eric. “Except for going inside to use the bathroom—that’s allowed.” Needing kindling for the fire they would light at nightfall, sources said the Trump boys tore apart the frame and canvas of Charles Édouard Armand-Dumaresq’s circa 1873 painting of the signing of the Declaration of Independence, which they had removed from the wall of the White House Cabinet Room. However, the brothers are said to have abandoned their attempts to start the fire after Eric burned his fingers while trying to use a Bic lighter to cook a hot dog. Reports confirmed that around 9 p.m., when Eric and Donald Jr. were listening intently for the footsteps of any special prosecutors who might be approaching in the darkness, they heard the sound of a twig snapping, which immediately caused them to shut off their flashlights and huddle deep inside their sleeping bags. “It’s Mueller!” whispered Donald Jr., holding a hand over Eric’s mouth to muffle his brother’s scream. “Quick, grab the secret notebook and run! I’ll attack him with the pruning shears!” “Wait, it’s just Melania with hot cocoa,” added Donald Jr., breathing a sigh of relief. “Tell her the password so we can let her in.” At approximately 3 a.m., a sobbing Eric Trump was seen marching toward the White House with a pillow under his arm, saying that he didn’t care if he got in trouble, he was tired and sad and just wanted to sleep in his own bed with all his stuff again."
1419,"WASHINGTON—Bringing a conclusion to decades of contentious court proceedings, Donald Jr., Ivanka, and Eric Trump were reportedly removed from the White House on Thursday after their mother, Ivana Trump, won her 25-year custody fight for the children. “We’re happy with the judge’s ruling that Ivanka, Don, and Eric’s father is unfit to look after these children, and that their best interests are served by having them live with their mother full-time, effective immediately,” said Aaron Franz, an attorney for Mrs. Trump, who reportedly arrived with his client at the North Portico of the White House early this morning to rouse the children from their beds and shepherd them, along with a few bags of their possessions, into a waiting minivan. “After years of fighting tooth and nail to be granted guardianship, we’re relieved to finally get these children out of such a hostile and unhealthy environment and into the loving care of their mom.” Franz added that leading a life removed from their father’s domineering influence would give these kids a real chance at someday becoming well-adjusted, productive members of society."
1420,"FOUNTAIN HILLS, AZ—In celebration of the dismissal of his conviction for criminal contempt via presidential pardon, Joe Arpaio’s family reportedly sought to surprise the former sheriff Tuesday with a 30-year-old Mexican national whom they detained on suspicion of having entered the country illegally. “When we heard the good news, we just knew we had to treat Joe to one of his absolute favorites,” said Arpaio’s wife Ava, who added that the family had made sure to feed only rotten and contaminated food items to the apprehended individual while he was held in a small room in their basement where the temperatures regularly exceeded 100 degrees, explaining that the special little touches were “just the way Joe likes it.” “If we had the time, we would have rounded up a few more Latinos who were driving around the area to make it a real tightly packed party down there, but the president’s pardon was just so fast and unexpected we had to move quickly. Regardless, I just know Joe’s face will light up when he sees that Mexican guy being kept there indefinitely. He’s going to be so excited!” At press time, the family was attempting to rouse the weakened and malnourished detainee to have him join them in shouting “surprise!”"
1421,"BERKELEY, CA—Vowing to derail whichever event it is by any means necessary, local Antifa organizers announced plans Monday to disrupt an upcoming neo-Nazi rally or whatever else is going on that day. “We will stop at nothing to prevent these vile fucking neo-Nazi hatemongers from gathering, or, if not them, someone else,” said Sarah Jackson, 26, adding that the only way to end the spread of fascism is to physically confront Nazis, peaceful right-wing protesters, or just random people going about their daily lives. “We need to tell these Hitler-loving fucks or whoever else is standing there, ‘Get out of our city!’ Remember, we’re talking about white supremacist terrorists, people running errands on their lunch breaks, or a group of tourists, so if we have to throw a punch or two, then so fucking be it.” At press time, black-clad Antifa demonstrators screaming “Fascists, go home!” had swarmed a Scandinavian street festival."
1422,"HOUSTON—Battening down the hatches as the potentially disastrous situation unfolded, Texans braced themselves Friday for President Trump’s response to Hurricane Harvey. “I don’t know how bad it’s going to be, but I’m preparing for the worst,” said resident Jacob Hoyt, echoing the sentiments of millions of residents along the state’s coast who were hunkering down for what many predict will be a catastrophically inept relief effort. “This won’t be easy. If nothing else, I’m hoping it’ll be over with pretty quick.” At press time, frightened Texans had learned that Trump’s response in the aftermath would likely be worse than even the most dire forecasts."
1423,"NEW YORK—In candid excerpts released Wednesday from her forthcoming memoirWhat Happened, Hillary Clinton reflects on her unsuccessful 2016 presidential bid, revealing to readers, “We all made mistakes, but you made most of them.” “I’m not suggesting it’s entirely your fault, but, let’s be frank, 99 percent of it is,” read one passage from the chapter entitled “Seriously, What Were You Thinking?” in which the former candidate conceded missteps she had made over the course of her campaign while also clarifying that none of them should have produced the final election outcome, which she characterized as “squarely on you fucking people.” “Indeed, fake news and Russian meddling played a part, and I’ve acknowledged I wasn’t the perfect candidate, but let’s not lose sight of the fact that the majority of the blame—all but the tiniest sliver—lies with you, the idiot voters. You really blew it, dumbasses. Bravo!” Sources later confirmed that Clinton devotes the final chapter of her memoir to how she has moved on from the election, begging her readers to not fuck that up for her too."
1424,"PHOENIX—Visibly moved by the outpouring of rancor before of him, President Trump was reportedly struck by the beautiful vision of what America could be while looking out over a seething, screaming Arizona rally on Tuesday. “As I gaze upon the snarls on your red faces today, I’m filled with hope at what astonishing hostility the America of tomorrow can achieve,” said the president, swelling with optimism at the inspiring scene of thousands of Americans gathering to act on their basest instincts. “I’m simply overcome by the bitterness and resentment filling this convention center. Just imagine if everyone in the nation—every single man and every single woman—could let their anger and intolerance consume them the way it has the good people in this room. What a wonderful country this would be.” Trump went on to say that while progress would not always be easy, the uncontainable rage of crowds like this one made him feel like America was well on its way."
1425,"ARLINGTON, VA—Saying the United States owed nothing less to future generations, President Trump vowed during a televised speech Monday night to leave a better Afghanistan for the nation’s grandchildren to fight in. “All our efforts are focused on creating and preserving an Afghanistan that we can be proud to pass down to the men and women in uniform who’ve yet to be born,” said Trump, adding that the administration will work tirelessly to ensure that, decades from now, American troops will be fighting in a more sustainable conflict alongside a restored Afghan National Army. “Rest assured that you will be able to look into your children’s eyes and know that their children and their children’s children will be conducting military operations in a country that’s far more stable than it once was.” Trump went on to say that with the right forward-thinking policy, American soldiers could thrive in Afghanistan indefinitely."
1426,"FORT MYER, VA—Calling the war in Afghanistan the nation’s highest priority until he decides at some point that it is actually trade with China or illegal border crossings, President Trump declared in a televised address Monday that the U.S. was committed to fighting insurgents in the region until an unconditional victory was secured, or until he changed his mind, got distracted by something else, thought the war was reflecting poorly on him, or got bored with the whole thing. “Let me be perfectly clear: America will not rest until our enemies have been defeated and the Afghan people are free, unless I start to get frustrated by all this, come across some other thing that seems like a bigger deal, or see a segment on TV that says we should do something else,” said the president, who called for the deployment of thousands more troops to pursue the Taliban until they were completely eradicated or until he lost interest in the situation. “Anyone who stands in the way of freedom shall know that the United States will never surrender and will never back down in the face of evil, except maybe after a couple of months pass and I just don’t want to deal with it any longer or some completely unrelated idea crosses my mind and I start running with that instead. Nothing, aside from maybe a personal feud with a media personality that occupies all my time and energy, will defeat our resolve.” A solemn Trump went on to assure viewers that sending America’s sons and daughters to the front lines of a deadly overseas conflict was the hardest thing a president had to do after having to memorize a lot of things and sometimes sit through hours of briefings without eating."
1427,"PALM BEACH, FL—Explaining that the job was far less complicated than it appeared, a Secret Service agent assured a Mar-A-Lago bellhop Monday that there was “nothing at all” to rooftop sniper duty. “So you hold the gun like this, look through this scope right here, and just pull this trigger when you want to shoot—you’ll get the hang of it pretty quick,” said agent Gregory Shaw, assuring the 19-year-old part-time resort employee that he could always use the walkie-talkie if he had any questions about operating the SR-25 semi-automatic sniper rifle. “Don’t worry about it too much. You basically just scan the area, and if it looks like someone might attack the president, you take ’em out. You might need to fire a couple times, but you’ll get the kill eventually. Hey, don’t worry, you’ll do great.” According to sources, the bellhop accidentally shot a parking valet in the shoulder within minutes."
1428,"WASHINGTON—His skin already starting to bubble, newly dismissed White House Chief Strategist Steve Bannon reportedly smiled and said “My work here is done” on Friday before bursting into millions of spores. “Now that I’ve accomplished everything I set out to do, it’s time for me to go,” said a contented Bannon moments before exploding into a cloud of millions of tiny black particles that swirled out the Oval Office window. “Just know that, if ever you need me, call my name into the wind and I will appear. Goodbye, my friends! Goodbye!” At press time, any White House staffers that had inhaled the Bannon spores were dying in agony as the spores began sprouting in their brains."
1429,"WASHINGTON—Saying that the huge breach of trust clearly violated journalistic ethics, White House aides confirmed Thursday that Chief Strategist Steve Bannon was not on the record when he issued the deafening, atonal howl that caused a reporter’s head to explode. “Mr. Bannon’s unbroken three-hour shriek was given in total confidence and was in no way intended for publication,” said White House aide Tim Vaughn, adding that it was mutually understood that the punishing vocalization that splattered chunks of bone and bloody grey matter across the room was intended as background only. “Unfortunately, this is just another flagrant attempt by the mainstream media to undermine the president, using privileged skull-shattering wails out of context and without permission to generate bias against the administration.” At press time, Trump was reportedly beginning to suspect that it was Bannon himself who had leaked all the previous cranium-bursting shrieks to the press."
1430,"WASHINGTON—Affirming their unwavering support for the fast food mascot, Americans rallied around a Ronald McDonald statue Thursday that they said embodied the country’s true heritage. “We refuse to let what this clown represents to our people and our way of life just be snuffed out,” said Jackson, MS resident Martin Kerpatch, one of the many demonstrators at a McDonald’s PlayPlace who had locked arms in a circle around the fiberglass sculpture of the iconic character relaxing on a bench. “You may not support everything this statue represents—we acknowledge that menu items such as the Arch Deluxe and McDLT complicate Ronald McDonald’s legacy—but to erase it from history would mean erasing the Big Mac and Chicken McNuggets as well. And we will never allow that to happen.” At press time, the protestors had begun swaying and chanting, “Ba da ba ba bah! I’m lovin’ it! Ba da ba ba bah! I’m lovin’ it!”"
1431,"Since the weekend’s violent protests in Charlottesville, VA, many have criticized President Trump for his failure to outright condemn the white supremacists involved. The Onion breaks down Trump’s relationship to this powerful hate group. A: The president maintains a 36 percent approval rating. A: Americans demand much subtler displays of racism from their elected officials. A: Married a Slovenian woman, thereby diluting his pure Anglo-Aryan lineage with the blood of a lesser Slav. A: You’re probably thinking of Steve Bannon, Stephen Miller, or Sebastian Gorka. A: Trump has been consistently in favor of Confederate statues despite a historical antipathy toward losers. A: None come to mind."
1432,"ALEXANDRIA, VA—Saying she hadn’t missed a summer since she was on the U.S. Court of Appeals, Supreme Court Justice Ruth Bader Ginsburg said Tuesday that she had once again returned to her off-season lifeguarding job at Splash Central waterpark. “They basically pay me $12 an hour just to sit in a chair and work on my tan all day—not to mention flirt with the hotties—so what’s not to like?” said Ginsburg, 84, slathering sunscreen on her bare arms as she noted that while it could get a little stressful watching over the “little shits running wild” in the Kiddie Cove area, it was otherwise “pretty chill” and far better than being stuck inside all day while court was in session. “Plus, employees get half-off at the snack bar, and after work we all just go drinking or hang out in the parking lot getting fucking blazed. I’ve also been hooking up with this other lifeguard, Hunter. I hope he keeps working here during break when he goes off to college next year, but, if not, this place is crawling with studs.” Ginsburg went on to say that she definitely has a more fun off-season job than Justice Breyer, who reportedly caddies for rich assholes that never fucking tip."
1433,"WASHINGTON—Fighting the urge to vomit as he gorged on the deep-fried, processed meat, disgusted special counsel Robert Mueller reportedly ate two McDonald’s 20-piece Chicken McNugget meals in one sitting on Tuesday in an attempt to get into President Trump’s mind. “To understand him, I must become him,” said Mueller, retching as he peeled back the lid of his eighth BBQ sauce container and dipping his 29th consecutive McNugget in the tangy condiment, an ordeal he said was the only way to truly inhabit the psyche of Donald Trump and discover “what makes him tick.” “I just have to keep pushing myself if I’m to have any hope at all of comprehending this man’s thought process. However unpleasant it may be, no matter how nauseated I may feel, I have no choice but to dunk another wad of French fries into this M&M McFlurry.” At press time, a infuriated Mueller was pounding his fists and shouting, “Who are you, dammit!” as he drank down another large KFC gravy."
1434,"WASHINGTON—Following a series of resignations from prominent CEOs amid the fallout from President Trump’s handling of white-nationalist violence in Charlottesville, VA, White House sources confirmed Tuesday that Trump’s American Manufacturing Council is now down to a single member, Clifton Sifford, CEO and president of Shoe Carnival. “Despite recent changes to the council, Shoe Carnival remains firmly committed to advising the president on manufacturing policy,” said Sifford, whose company operates 555 family footwear stores across the Midwest, South, and Southeast and was named 2001 Chain Retailer of the Year byFootwear News.“I have assured President Trump that Shoe Carnival’s 40 years of experience in the industry will remain a valuable resource for the administration and that we will continue working with him on getting American manufacturing back on track and creating jobs.” At press time, Sifford was sitting down with the president to discuss Shoe Carnival’s strategy for addressing the country’s $60 billion trade deficit with Mexico."
1435,"WASHINGTON—Suggesting he did not act alone but with implicit backing at the highest levels, the FBI said Monday that the suspect charged with murder for ramming his car into a crowd of protesters in Charlottesville over the weekend may have received tacit support from a powerful U.S. government figure. “While James Alex Fields Jr. was the man behind the wheel, we have every reason to believe that he benefited from the quiet patronage of someone of great importance in the American executive branch,” said FBI director Christopher Wray, adding that the agency has for months suspected that white nationalists had an influential de facto ally in that arm of government and that recent events have only validated their theory. “Rather than openly declare common cause with U.S. neo-Nazi terrorist acts, we believe this official prefers to discreetly provide assistance from a removed position where he can operate with at least a modicum of plausible deniability.” At press time, the FBI said it was not quite ready to release the individual’s name but said it likely would soon, as evidence continued to mount every day."
1436,"WASHINGTON—In a comprehensive analysis of the nation’s media consumption habits, a report published Friday by the Pew Research Center found that most Americans now receive their news while holding their hands over their eyes and peeking out between their fingers. “Whether in print, online, or televised form, our research indicates that 80 percent of Americans engage with news by cupping their hands over their eyes and occasionally steeling themselves to glance at the content before them,” said lead author Dr. Jacob Elam, noting that after opening a link to a news story, four out of five Americans stand up and walk away from their computers while muttering “Oh god, oh my god” before returning to their seats. “We also found that two-thirds of the American public now require at least 30 seconds of agitated hesitation before even typing ‘cnn.com’ into the address bar and, once on the site, immediately direct their attention toward several more palatable entertainment or sports articles before anxiously edging their way toward the day’s top headlines.” According to the researchers, while Americans tended to believe they’d be better off taking a day or two off from the never-ending news cycle, a solid majority throw their hands up, say “Fuck it,” and visit Twitter again."
1437,"WASHINGTON—Forced to set loose their best friend in the whole world, the Trump boys on Thursday sadly released their pet alligator into the Lincoln Memorial Reflecting Pool. “Sorry, buddy, Dad says we can’t keep you anymore,” said a tearful Eric Trump as the brothers unlatched the cage containing the 900-pound American alligator, assuring the animal that he’d be happier swimming free in the waters of the National Mall than being cooped up in a White House bathtub. “It’s not your fault you took a chomp out of that stupid ol’Resolutedesk. But we’ll come back and visit real soon, don’t you worry. Now go on and get before we change our mind. Go on now.” At press time, the Trump boys realized they were in trouble all over again after the alligator dragged newly appointed Supreme Court Justice Neil Gorsuch into the water and devoured him."
1438,"WASHINGTON—Strange, viscous fluid dribbling down from the shadows above him, Trump administration staffer Jason McCabe on Thursday reportedly looked up from a puddle of slime he had been investigating to discover a fellow aide cocooned in Steve Bannon’s ooze. According to sources, McCabe had been walking alone in a dark West Wing corridor when he noticed by the light of his flashlight that he had stepped in a gluey, greenish-white substance and followed the trickle upwards to where coworker Jonathan Meslow was affixed to the ceiling in thick clumps of the White House chief strategist’s mucous. Sources indicate that McCabe then uttered the phrase “Dear God” as he pointed his flashlight at the aide’s contorted face, then guided the beam further down Meslow’s body to a large cavity in his abdomen where Bannon had presumably gouged out his entrails. Retching from the ghastly sight and the putrid stench, McCabe reportedly turned to leave when his flashlight suddenly flickered and died, at which point scuttling sounds began to emerge from the darkness."
1439,"PARK RIDGE, IL—At a ribbon-cutting ceremony held Tuesday on the steps of the recently completed 200,000-square-foot facility, Hillary Clinton opened a new presidential library and museum that commemorates the presidency she might have had if elected. “Visitors to the Hillary Rodham Clinton Presidential Center can learn all about her tenure as commander in chief as it hypothetically might have unfolded over two terms in office,” read a press release issued by the library, which archives thousands of pages of correspondence the former candidate wrote herself on replica Oval Office letterhead, displays pens she could have used to sign landmark legislation, and otherwise chronicles the pivotal moments of her nonexistent presidency. “Preserved here for future generations are the texts of the seven State of the Union addresses she would have delivered, as well as filmed interviews in which Clinton reflects on imagined signature achievements such as the 2019 Paid Family and Medical Leave Act and a new U.S.-led climate treaty that future historians would have credited with ending the world’s dependence on fossil fuels.” Sources said the museum also contains exhibits on the Supreme Court justices Clinton would have appointed to replace Ruth Bader Ginsburg, Anthony Kennedy, and Stephen Breyer, presuming they had all died during her presidency."
1440,"ALEXANDRIA, VA—Embarrassed by the piles of clutter in virtually every room, former Trump campaign manager Paul Manafort reportedly spent the afternoon Wednesday making his house look presentable before the next predawn FBI raid. “The next time the FBI shows up at my door without advance warning, this place is going to be spick and span,” said Manafort, who fluffed couch cushions, folded a basket of freshly washed laundry, and then went room to room to empty waste baskets, noting that the house was so messy that the agents searching for incriminating documents must have thought he was a total slob. “It was humiliating standing there and watching them rifling through my desk drawers, which were just crammed with loose papers and unopened junk mail. Then I almost died when they were rummaging around under the couch and discovered the missing television remote, pieces of popcorn, and these huge clumps of dog hair—at that moment, with all those FBI officers crawling around, I wished more than anything that I had vacuumed.” At press time, an extremely anxious Manafort was hoping the FBI agents that had just entered his home wouldn’t notice he had forgotten to dust around the bookshelf."
1441,"WASHINGTON—Offering a stark and sobering assessment of the consequences of a military conflict with the nuclear-armed nation, the Central Intelligence Agency confirmed Wednesday that North Korea now possesses missile technology capable of reaching Sam Waterston’s house. “According to an analysis of satellite images and data gathered from recent tests, it appears that the residence of longtimeLaw & Orderactor Sam Waterston now lies within the range of North Korea’s intercontinental ballistic missiles,” said CIA spokesperson Rebecca Levin, explaining in bleak terms how the multitalented star of both screen and stage would have only 10 minutes of advance warning in the event of a launched attack, likely making it impossible for the Academy Award nominee to safely flee any direct strike on his property. “While we have a high degree of confidence in our country’s anti-ballistic missile defense system, there remains a possibility that an incoming ICBM could enter American airspace and detonate directly above Mr. Waterston. This is a distinct and terrifying prospect that I can assure you we do not take lightly.” Levin added that, while the intelligence remains as yet inconclusive, it appears that North Korea may possess multiple functional nuclear warheads, leaving open the dire possibility of a simultaneous strike on Waterston’s primary residence, vacation home, and sailboat."
1442,"Former FBI director James Comey is writing a book due out next spring about leadership, decision-making, and his time at the FBI. Here’s what to look for when the book is released. Lurid details about Comey’s early life in Yonkers, New York as the son of a corporate realtor and homemaker Nice, glossy centerfold A defense of his decision to insert himself into the 1995 Pillsbury bake-off judging just hours before the end of the competition Graphic, sexually explicit chapter about year spent touring with Cream A few hundred instances of the wordduty Gripping, personal tale of his decade-long struggle with Werther’s Originals Repeated references to an unnamed United States president who, for their privacy, Comey will simply refer to asmy friend Jacob No-nonsense index organized by how juicy each topic is A revealing, pivotal childhood moment wherein Comey’s stepfather tells him that he will never fulfill his dream of testifying before the Senate Intelligence Committee A few blank pages for readers to write their own damning revelations about the Trump administration Foreword by Hillary Clinton"
1443,"COLLODI, ITALY—Sipping from a glass of wine at a small outdoor café in a small Tuscan hill town, Special Counsel Robert Mueller confirmed Tuesday that he was feeling dread about returning from his two-month European vacation to start the investigation into Russia meddling in the 2016 presidential campaign. “I’ve been pushing it all to the back of my mind and trying to relax, because I know that when I get back I’ll be slammed with a ton of annoying phone calls, emails, and paperwork,” said Mueller, who reportedly has been touring Italian vineyards for the past two weeks after completing a sailing expedition through the Greek isles in a “much-needed escape” from Washington, D.C. before beginning his probe into potential collusion between Russia and the Trump presidential campaign. “I took a quick peek at my phone the other day, and I had 1,200 unread messages. God, I don’t want to go back. I know the work is just going to keep piling up the longer I put it off, but it’s heaven here. I never want to leave.” At press time, Mueller was rescheduling his return flight back to America to fit in a few days of scuba diving and parasailing in the French Riviera."
1444,"WASHINGTON—Systematically eliminating any resistance to his new position as the president’s chief of staff, John Kelly moved through the White House on Friday rooting out any remaining Reince Priebus sympathizers hiding in tunnels throughout the residence. “I’ve gotta stamp them all out, every last one,” said Kelly, a retired Marine Corps general, dropping a grenade down a shaft in which he’d heard rustling from several White House aides loyal to his predecessor. “There was a real nasty pocket of ’em near the Briefing Room that still refused to recognize any press secretary except Sean Spicer. I had to smoke them out with tear gas and gut ’em one by one. These bastards sure don’t go down easy. Some of them keep trying to implement Priebus’ agenda right up until the moment they finish bleeding out.” At press time, Kelly had emptied a can of gasoline into a crawl space hiding several Anthony Scaramucci loyalists before setting it ablaze with the butt of his cigar."
1445,"WASHINGTON—After persistent efforts by Republicans to wipe out the healthcare law over the past seven years, experts warned Wednesday that the repeated attempts at eradicating Obamacare may have created an ultra-resistant super law. “Given the frequency with which lawmakers have unsuccessfully tried to exterminate the Affordable Care Act, the growing resiliency of this legislation could soon be insurmountable,” said Institute for Healthcare Improvement senior fellow Curt Greenwood, adding that the landmark healthcare overhaul could grow impervious to any repeal measures or even major amendments within just a few short congressional sessions. “What we once thought would be eliminated by now will instead require considerably more time and resources. And at a certain point, no interventions on the part of any branch of government will be sufficient to overcome the ACA’s built-in resistance.” According to Greenwood, however, hope remained that sufficiently high doses of single-payer healthcare legislation could potentially offer a cure."
1446,"WASHINGTON—Straightening his synthetic wig before casually approaching a nearby lunch table, a disguised Chief of Staff John Kelly reportedly set down his tray, pulled over a chair, and said “Leaking sure is cool, huh, guys?” to a group of White House aides dining in the West Wing commissary Tuesday. “Anybody else just love leaking information to the press, or have any fun leaking stories they want to tell? It’s totally cool if you do; everybody’s doing it,” said Kelly, who then asked the group what their “absolute favorite things to leak” were before taking a bite of his sandwich and intently observing the staffers’ reactions from behind his prop glasses. “I was thinking about getting a group together to hang out and do some leaking this afternoon. How about it? Who’s game for a couple of brewskies and calling theNew York Timesto share confidential information about the president on condition of anonymity? I’m buying!” As of press time, more than half a dozen newspapers had printed accounts from unnamed White House sources alleging that Kelly was already succumbing to the pressures of overseeing the Trump administration and likely wouldn’t last much longer in his role."
1447,"WASHINGTON—Following his abrupt dismissal just 10 days after being named White House communications director, Anthony Scaramucci reportedly received an outpouring of sympathetic texts Monday from friends and family expressing that they were “so fuckin’ sorry to hear about this shit.” “My deepest motherfuckin’ condolences, Tony, it’s terrible to hear you got shit-canned by these ass-munching cocks in D.C.,” read a text message in part, just one of dozens sent by old buddies at Goldman Sachs, current business partners at SkyBridge Capital, and extended family in New Jersey in response to his “goddamn bullshit” dismissal. “Sorry to hear those bitches gave you the fucking ax, Mooch. That jackass [John] Kelly got no fucking clue what a good fuckin’ dude you are. Just know your mother and I always got your fucking back.” At press time, Scaramucci’s New York office was reportedly filled with flower arrangements and handwritten cards lamenting that this was “absolute fucking trash.”"
1448,"WASHINGTON—Noting that the resignation of Anthony Scaramucci as White House communications director marked the ouster of the third top administration official in less than two weeks, a worried populace told reporters Monday that it was unsure how many former Trump staffers it could safely reabsorb. “Jesus, we can’t just take back these assholes all at once—we need time to process one before we get the next,” said 53-year-old Gregory Birch of Naperville, IL, echoing the concerns of 323 million Americans in also noting that the country was only now truly beginning to reintegrate former national security advisor Michael Flynn. “This is just not sustainable. I’d say we can handle maybe one or two more former members of Trump’s inner circle over the remainder of the year, but that’s it. This country has its limits.” At press time, the American populace was wearily hoping it had even 48 hours before it had to figure out how to take back Attorney General Jeff Sessions."
1449,"DELRAY BEACH, FL—Inviting the recently fired White House chief of staff to take a load off and embrace his newfound freedom, a blissed-out, hemp-wearing former press secretary Sean Spicer reportedly assured Reince Priebus on Monday that leaving the White House was the best thing that ever happened to him. “Seriously, man, that place was toxic—after I got out of there, it was like this huge weight had been lifted off my shoulders,” said the serene, baja-hoodie-clad former spokesman, offering Priebus some of his homemade kombucha and his copy of Alan Watts’Become What You Arewhile assuring him that leaving the Trump administration would allow him to find a sense of tranquility and spiritual reconnection. “I take long walks now. I read. I meditate. Remember how flustered I used to get? The other day, someone totally screwed up my lunch order, but I didn’t even let it get to me. Trust me, you’re going to look back on this as the day you rediscovered yourself. Welcome back, brother.” At press time, Priebus was attending a silent meditation retreat in Bali, waiting for the echoes of Donald Trump shrieking at him to finally subside."
1450,"WASHINGTON—Taking stock of his present circumstances as he packed up his belongings and exited the West Wing after being pushed out of office by the president of the United States, former White House Chief of Staff Reince Priebus expressed a sense of gratitude Friday that he had so little dignity to begin with. “I’m just lucky that I came into this role with effectively no personal honor whatsoever, or this could have really stung,” said Priebus, who explained that, having spent years overseeing the Republican Party and suffering regular mockery and derision at the hands of his colleagues and regular citizens alike, his unceremonious ouster from one of the highest political positions in the United States could, at this point, largely just roll off his back. “I can’t imagine how awful it would have been to be fired by the president over social media—not to mention, just one day after a new colleague of mine accused me of being a paranoid schizophrenic in front of the nation—if I happened to be someone who engendered even a modicum of respect or esteem from others. But I don’t, so it really isn’t that bad.” Priebus added that he was confident he could ultimately bounce back from the firing, saying his absence of dignity and ability to debase himself and the American people would surely help him land on his feet in Washington."
